arm,step,train_loss
mlp2,110,3.21952
mlp2,111,3.26366
mlp2,112,3.56322
mlp2,113,3.27491
mlp2,114,3.27393
mlp2,115,3.01124
mlp2,116,3.51845
mlp2,117,3.13254
mlp2,118,3.54462
mlp2,119,3.16844
mlp2,120,3.31061
mlp2,121,3.95594
mlp2,122,3.16049
mlp2,123,3.49905
mlp2,124,3.03049
mlp2,125,3.74961
mlp2,126,3.48431
mlp2,127,3.58176
mlp2,128,3.20268
mlp2,129,3.24800
mlp2,130,3.26109
mlp2,131,3.27343
mlp2,132,3.03657
mlp2,133,3.49654
mlp2,134,3.38678
mlp2,135,3.26198
mlp2,136,3.33597
mlp2,137,3.07410
mlp2,138,3.60205
mlp2,139,3.12580
mlp2,140,3.39808
mlp2,141,3.40418
mlp2,142,3.29753
mlp2,143,3.21251
mlp2,144,2.98045
mlp2,145,3.28430
mlp2,146,3.33097
mlp2,147,3.24772
mlp2,148,4.03308
mlp2,149,3.58456
mlp2,150,3.18426
mlp2,151,3.07317
mlp2,152,3.16490
mlp2,153,3.39863
mlp2,154,3.41653
mlp2,155,3.22156
mlp2,156,3.39470
mlp2,157,2.99943
mlp2,158,3.59053
mlp2,159,4.10992
mlp2,160,2.90359
mlp2,161,3.64080
mlp2,162,2.86599
mlp2,163,2.97117
mlp2,164,3.43701
mlp2,165,3.89459
mlp2,166,3.45117
mlp2,167,2.98697
mlp2,168,3.06111
mlp2,169,3.63383
mlp2,170,2.98505
mlp2,171,3.31286
mlp2,172,2.72596
mlp2,173,3.33717
mlp2,174,3.36522
mlp2,175,3.31251
mlp2,176,3.02085
mlp2,177,3.13818
mlp2,178,2.92509
mlp2,179,3.93926
mlp2,180,3.03110
mlp2,181,3.36934
mlp2,182,3.19410
mlp2,183,2.78661
mlp2,184,3.29536
mlp2,185,3.42977
mlp2,186,3.33896
mlp2,187,3.30249
mlp2,188,3.48182
mlp2,189,3.38479
mlp2,190,3.30625
mlp2,191,3.48916
mlp2,192,3.39907
mlp2,193,3.22219
mlp2,194,3.10184
mlp2,195,3.24963
mlp2,196,3.28034
mlp2,197,3.29395
mlp2,198,3.23046
mlp2,199,2.95356
mlp2,200,3.64981
mlp2,201,2.65621
mlp2,202,3.17636
mlp2,203,3.09059
mlp2,204,2.88834
mlp2,205,3.09343
mlp2,206,3.21476
mlp2,207,3.30649
mlp2,208,2.98898
mlp2,209,2.96352
mlp2,210,3.44916
mlp2,211,3.26339
mlp2,212,3.03036
mlp2,213,3.01262
mlp2,214,3.65390
mlp2,215,3.31467
mlp2,216,3.09614
mlp2,217,3.04573
mlp2,218,3.13850
mlp2,219,3.23177
mlp2,220,3.32076
mlp2,221,3.31010
mlp2,222,3.48362
mlp2,223,3.56134
mlp2,224,3.55041
mlp2,225,3.60042
mlp2,226,3.55020
mlp2,227,3.39570
mlp2,228,2.98758
mlp2,229,2.98791
mlp2,230,2.50377
mlp2,231,2.77006
mlp2,232,3.37763
mlp2,233,3.09317
mlp2,234,3.54914
mlp2,235,3.60766
mlp2,236,3.42080
mlp2,237,2.81633
mlp2,238,3.33862
mlp2,239,3.12952
mlp2,240,3.43407
mlp2,241,3.22478
mlp2,242,2.90735
mlp2,243,3.08117
mlp2,244,2.95395
mlp2,245,3.11997
mlp2,246,3.56056
mlp2,247,3.44343
mlp2,248,3.61884
mlp2,249,3.46321
pool,0,4.23472
pool,1,4.00795
pool,2,3.83149
pool,3,3.95146
pool,4,3.90497
pool,5,3.64526
pool,6,3.68513
pool,7,3.18691
pool,8,3.32792
pool,9,3.58103
pool,10,3.41997
pool,11,3.38555
pool,12,3.84188
pool,13,3.30149
pool,14,3.54989
pool,15,3.41679
pool,16,4.01727
pool,17,4.18320
pool,18,3.28865
pool,19,3.85623
pool,20,3.68781
pool,21,3.49817
pool,22,3.33319
pool,23,3.55932
pool,24,3.57546
pool,25,4.05485
pool,26,3.46103
pool,27,3.18295
pool,28,3.24994
pool,29,3.31347
pool,30,3.33098
pool,31,3.08239
pool,32,3.22371
pool,33,3.32350
pool,34,3.56591
pool,35,3.43491
pool,36,3.66667
pool,37,3.27920
pool,38,2.87578
pool,39,3.34250
pool,40,3.48846
pool,41,3.11388
pool,42,3.77206
pool,43,3.83779
pool,44,3.39013
pool,45,3.71080
pool,46,3.48868
pool,47,2.76646
pool,48,3.41943
pool,49,2.89679
pool,50,2.76096
pool,51,3.31274
pool,52,3.25245
pool,53,2.97256
pool,54,3.38341
pool,55,3.62201
pool,56,3.04706
pool,57,3.18824
pool,58,3.43466
pool,59,3.50738
pool,60,3.30995
pool,61,3.63749
pool,62,3.56868
pool,63,3.14537
pool,64,3.92636
pool,65,3.09653
pool,66,3.56276
pool,67,3.44033
pool,68,2.58604
pool,69,3.01259
pool,70,3.29803
pool,71,2.92717
pool,72,3.66182
pool,73,3.43149
pool,74,3.00715
pool,75,3.06294
pool,76,3.55355
pool,77,3.32034
pool,78,4.00068
pool,79,3.68493
pool,80,2.97447
pool,81,3.03619
pool,82,3.28191
pool,83,3.31577
pool,84,3.79060
pool,85,3.06499
pool,86,3.15226
pool,87,3.33802
pool,88,4.06316
pool,89,3.64044
pool,90,4.03147
pool,91,3.08753
pool,92,3.03421
pool,93,3.24515
pool,94,3.62136
pool,95,2.94988
pool,96,3.31175
pool,97,2.80150
pool,98,3.71960
pool,99,3.12852
pool,100,2.98328
pool,101,3.16452
pool,102,3.12806
pool,103,3.38277
pool,104,3.62661
pool,105,2.98140
pool,106,3.63134
pool,107,3.39001
pool,108,3.46734
pool,109,3.29995
pool,110,3.11715
pool,111,3.23577
pool,112,3.42678
pool,113,3.19319
pool,114,3.21915
pool,115,2.94767
pool,116,3.49248
pool,117,2.98459
pool,118,3.44404
pool,119,3.06079
pool,120,3.19022
pool,121,3.91762
pool,122,3.07886
pool,123,3.42845
pool,124,3.00139
pool,125,3.58858
pool,126,3.36393
pool,127,3.53037
pool,128,3.18358
pool,129,3.26195
pool,130,3.17337
pool,131,3.11285
pool,132,3.01316
pool,133,3.38496
pool,134,3.34721
pool,135,3.23521
pool,136,3.28212
pool,137,3.10978
pool,138,3.42963
pool,139,3.16031
pool,140,3.32258
pool,141,3.36744
pool,142,3.10306
pool,143,3.18557
pool,144,2.78661
pool,145,3.12272
pool,146,3.21283
pool,147,3.17679
pool,148,3.98965
pool,149,3.45245
pool,150,3.19000
pool,151,2.99954
pool,152,3.08461
pool,153,3.28935
pool,154,3.38813
pool,155,3.10093
pool,156,3.23664
pool,157,2.88928
pool,158,3.49582
pool,159,3.90135
pool,160,2.83560
pool,161,3.57396
pool,162,2.72724
pool,163,2.84166
pool,164,3.37757
pool,165,3.82048
pool,166,3.27658
pool,167,2.82127
pool,168,2.96150
pool,169,3.45133
pool,170,2.87121
pool,171,3.20625
pool,172,2.62538
pool,173,3.20013
pool,174,3.20758
pool,175,3.18116
pool,176,2.95492
pool,177,3.08326
pool,178,2.78503
pool,179,3.70764
pool,180,2.88493
pool,181,3.27784
pool,182,3.20787
pool,183,2.70350
pool,184,3.13470
pool,185,3.35715
pool,186,3.22601
pool,187,3.17481
pool,188,3.32281
pool,189,3.32354
pool,190,3.23276
pool,191,3.40712
pool,192,3.37567
pool,193,3.03423
pool,194,2.87738
