arm,step,loss
blind,126,3.1775
blind,127,2.3367
blind,128,2.2255
blind,129,2.2111
blind,130,2.1920
blind,131,2.9238
blind,132,2.4559
blind,133,2.1200
blind,134,1.3958
blind,135,2.8283
blind,136,3.0424
blind,137,1.8418
blind,138,1.3986
blind,139,2.0803
blind,140,3.0604
blind,141,0.3258
blind,142,1.7967
blind,143,2.5145
blind,144,1.3456
blind,145,1.2400
blind,146,2.6321
blind,147,2.1611
blind,148,1.6714
blind,149,2.2942
