experiment,name,ms,iters,objective,swings,peak_force,unknowns,dt,trapz_defect,trapz_ms,hs_defect,hs_ms,ratio,measured,theory,defect,exponent,solved,of,mean_iters,obj_min,obj_max,distinct,reversals,count,objectives,min_time,peak,u_max_values,strong_time,strong_reversals,weak_time,weak_reversals,open_deg,closed_deg,open_cart,closed_cart,hold_s,colloc_ms,colloc_iters,colloc_ok,shoot_ms,shoot_iters,shoot_ok,time
4,"weak motor, 4.0 s horizon | hold",,,,,,,,,,,,,,,,,1,1,69.0,20.3153,20.3153,1,[4],,,,,,,,,,,,,,,,,,,,,
4,"weak motor, 4.0 s horizon | linear",,,,,,,,,,,,,,,,,0,1,,,,0,,,,,,,,,,,,,,,,,,,,,,
4,"weak motor, 4.0 s horizon | random",,,,,,,,,,,,,,,,,4,10,37.0,20.3153,23.2924,2,"[3, 4]",,,,,,,,,,,,,,,,,,,,,
4,distinct_from_random,,,,,,,,,,,,,,,,,,,,,,,,2,"[20.3, 23.3]",,,,,,,,,,,,,,,,,,,
5,umax_30.0,,,,,,,,,,,,,,,,,True,,,,,,1,,,1.7477,12.928,,,,,,,,,,,,,,,,,
5,umax_20.0,,,,,,,,,,,,,,,,,True,,,,,,1,,,1.7477,12.928,,,,,,,,,,,,,,,,,
5,umax_12.0,,,,,,,,,,,,,,,,,True,,,,,,1,,,1.7489,12.0,,,,,,,,,,,,,,,,,
5,umax_8.0,,,,,,,,,,,,,,,,,True,,,,,,1,,,1.8348,8.0,,,,,,,,,,,,,,,,,
5,umax_5.0,,,,,,,,,,,,,,,,,True,,,,,,2,,,2.4148,5.0,,,,,,,,,,,,,,,,,
5,umax_3.0,,,,,,,,,,,,,,,,,True,,,,,,4,,,3.884,3.0,,,,,,,,,,,,,,,,,
5,umax_2.0,,,,,,,,,,,,,,,,,False,,,,,,-1,,,5.2559,2.0,,,,,,,,,,,,,,,,,
5,umax_1.5,,,,,,,,,,,,,,,,,False,,,,,,-1,,,5.0315,1.5,,,,,,,,,,,,,,,,,
5,unconverged,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[2.0, 1.5]",,,,,,,,,,,,,,,,
5,summary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.748,1,3.884,4,,,,,,,,,,,,
6,replay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.019,0.005,-0.011,0.0009,3.0,,,,,,,
6,kick_0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.019,0.005,,,,,,,,,,
6,kick_0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.121,0.049,,,,,,,,,,
6,kick_0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.297,0.17,,,,,,,,,,
6,kick_0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.398,0.326,,,,,,,,,,
6,kick_1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.766,0.475,,,,,,,,,,
7,N_10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.2,12,True,361.3,144,True,
7,N_20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41.6,10,True,2373.2,307,False,
7,N_40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,82.6,10,True,4759.6,168,True,
7,N_60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116.5,10,True,10663.5,133,True,
7,N_80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,146.6,10,True,24727.4,191,True,
7,N_120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,239.7,10,True,58294.3,160,True,
7,ratio,,15.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,115.0
